x,y,error
0.5124791666666667,3966.0552277724764,151.1000909786962
0.7034375,3377.3907428928815,52.70198601402821
0.8943958333333333,2004.3159260726613,53.707933199750876
1.0853541666666668,1363.1842123204565,28.013193484724408
1.2763125000000002,969.5847713934131,30.50019491316214
1.4672708333333335,554.1592959752024,14.583340934086129
1.6582291666666669,342.2312857350674,16.776299913953945
1.8491875000000004,287.4077454026998,9.865295997184475
2.0401458333333333,191.50597249741486,9.584862464918633
2.2311041666666664,145.90790281073242,8.038093960634445
2.4220625,123.828354740178,5.970083433781984
2.613020833333333,97.06095290685042,6.103261708035079
2.8039791666666667,85.15349210977992,4.8314437891724005
2.9949375,59.80201109849444,4.2566352895428095
3.1858958333333334,51.388020142352524,3.3731031014344124
3.376854166666667,43.32223396926596,3.948033030901616
3.5678125000000005,43.08518116057492,2.662044349897634
3.758770833333334,35.90878822630465,3.2984425288924273
3.9497291666666667,27.900961586040637,2.3138452251435484
4.1406875,28.654405248864816,2.384965205519701
4.331645833333334,26.125955444873668,2.360149730316703
4.5226041666666665,23.822362332245397,2.0385472874197723
4.7135625,23.6177772593296,2.0297749494960535
4.904520833333334,18.64499521449625,1.726693423117821